Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|4. Absence of Constraints in different aspects of life - Confident
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|4. Absence of Constraints in different aspects of life - Confident
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|4. Absence of Constraints in different aspects of life - Confident
When 2040 comes, I can save money for when I grow old.|85.2|91.9|96.8|93.6|91.3|86|78.6|87.8|86.1|84.6|82.2|84.6|85.7|84.2|84.5|90.7|88|82.8|4. Absence of Constraints in different aspects of life - Confident
When 2040 comes, I can save money to buy my own house.|84.8|91.9|98.3|94.2|91|85.6|77.8|87.6|87|83.5|80.4|84.7|84.8|84.4|83.6|89.7|86.8|83.1|4. Absence of Constraints in different aspects of life - Confident
When 2040 comes, I can save money for emergency or unexpected expenses.|84.4|91.6|100|94.2|90.6|84.7|78.2|85.8|86.2|83.6|81.2|84|84.7|84.2|83.2|88.5|86.2|82.8|4. Absence of Constraints in different aspects of life - Confident
NONE|5.2|2|-|1.2|2.3|4.6|8.8|3.8|4.2|5.6|7.6|5.5|5|5.6|5.5|3.3|3.9|6.4|4. Absence of Constraints in different aspects of life - Confident
