Response|TOTAL|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted|10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|33. Important Gov Services for Better Future: Rank 1
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|33. Important Gov Services for Better Future: Rank 1
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|33. Important Gov Services for Better Future: Rank 1
No corruption|42.4|40.5|55|40.5|40|42.9|43.1|41.4|43.9|41.9|41.7|42.4|42.3|42.3|42.9|41.5|42.3|42.4|33. Important Gov Services for Better Future: Rank 1
Fast and easy government transactions|26|28.9|20.5|33.7|27.9|25.1|25.1|25.2|25.3|26|27.6|26.5|25.4|26.6|25.5|25.1|26.9|25.2|33. Important Gov Services for Better Future: Rank 1
Affordable government services|12.8|12.8|5|9.9|13.9|12.9|12.6|13.6|11.9|13.3|12.9|12.8|12.8|13|12.5|13|13.4|12.2|33. Important Gov Services for Better Future: Rank 1
Polite, helpful and knowledgeable government employees|11.1|9.4|11.4|8.8|9.5|11.6|11.6|12.8|11.4|10.5|9.8|10.1|12.1|10.3|11.4|13|9.4|12.6|33. Important Gov Services for Better Future: Rank 1
Fast and easy contact with government offices|7.7|8.2|8.1|7.1|8.5|7.5|7.6|6.9|7.6|8.2|8.1|8.1|7.3|7.8|7.6|7.5|7.9|7.6|33. Important Gov Services for Better Future: Rank 1
Don't Know (vol.)|-|*|-|-|*|-|*|*|-|*|-|*|-|-|*|-|*|-|33. Important Gov Services for Better Future: Rank 1
