Response|Total|ABC (NET)|AB|C1|C2|D|E|15-19|20-29|30-39|40-50|Male|Female|Working|Not Working|Student|Urban|Rural|question
Unweighted |10000|2280|60|493|1727|4784|2936|1511|3057|2967|2465|5002|4998|4927|4058|1015|4620|5380|2. Ideas of Life Status - VACATION
Weighted|10000|2260|60|482|1717|4820|2921|1978|3211|2594|2217|5032|4968|4653|4042|1305|4569|5431|2. Ideas of Life Status - VACATION
|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|%|2. Ideas of Life Status - VACATION
Occassionally goes on trips in places in the Philippines|79.7|74.4|61.2|70|76|79.9|83.5|73.7|77.8|83.2|83.8|81.3|78|81.7|80.9|68.7|79.8|79.6|2. Ideas of Life Status - VACATION
Can travel to have vacation in other country|19.1|25.4|38.8|29.9|23.6|19|14.3|25.6|21.2|15.3|14.4|17.5|20.7|16.8|17.9|30.8|19.1|19|2. Ideas of Life Status - VACATION
NA|*|*|-|*|*|*|0.7|*|*|0.5|0.6|*|0.5|0.5|*|*|*|*|2. Ideas of Life Status - VACATION
Refused (vol.)|*|-|-|-|-|*|*|*|*|*|*|*|*|*|*|*|*|*|2. Ideas of Life Status - VACATION
Don't Know (vol.)|0.6|*|-|-|*|*|1.4|*|0.5|0.8|0.9|0.7|0.6|0.8|0.6|*|0.5|0.8|2. Ideas of Life Status - VACATION
